Survived,Pclass,Age,SibSp,Parch,Fare,FamilySize,Sex_female,Sex_male,Title_Master,Title_Miss,Title_Mr,Title_Mrs
0,3,22.0,1,0,2.1102132003465894,2,False,True,False,False,True,False
1,1,38.0,1,0,4.2805931204649,2,True,False,False,False,False,True
1,3,26.0,0,0,2.188856327665703,1,True,False,False,True,False,False
1,1,35.0,1,0,3.9908341858524357,2,True,False,False,False,False,True
0,3,35.0,0,0,2.2027647577118348,1,False,True,False,False,True,False
0,3,28.0,0,0,2.246892662898172,1,False,True,False,False,True,False
0,1,54.0,0,0,3.967694202798607,1,False,True,False,False,True,False
0,3,2.0,3,1,3.094445746490024,5,False,True,True,False,False,False
1,3,27.0,0,2,2.4959537387180646,3,True,False,False,False,False,True
1,2,14.0,1,0,3.436268471383741,2,True,False,False,False,False,True
1,3,4.0,1,1,2.8735646395797834,3,True,False,False,True,False,False
1,1,58.0,0,0,3.3160025355989236,1,True,False,False,True,False,False
0,3,20.0,0,0,2.2027647577118348,1,False,True,False,False,True,False
0,3,39.0,1,5,3.4742929367327062,7,False,True,False,False,True,False
0,3,14.0,0,0,2.180891922715322,1,True,False,False,True,False,False
1,2,55.0,0,0,2.833213344056216,1,True,False,False,False,False,True
0,3,2.0,4,1,3.405355391810819,6,False,True,True,False,False,False
1,2,28.0,0,0,2.639057329615259,1,False,True,False,False,True,False
0,3,31.0,1,0,2.9444389791664403,2,True,False,False,False,False,True
1,3,28.0,0,0,2.1071782966514356,1,True,False,False,False,False,True
0,2,35.0,0,0,3.295836866004329,1,False,True,False,False,True,False
1,2,34.0,0,0,2.639057329615259,1,False,True,False,False,True,False
1,3,15.0,0,0,2.2004637699272855,1,True,False,False,True,False,False
1,1,28.0,0,0,3.597312260588446,1,False,True,False,False,True,False
0,3,8.0,3,1,3.094445746490024,5,True,False,False,True,False,False
1,3,38.0,1,5,3.4777725458882283,7,True,False,False,False,False,True
0,3,28.0,0,0,2.1071782966514356,1,False,True,False,False,True,False
0,1,19.0,3,2,5.575949103146316,6,False,True,False,False,True,False
1,3,28.0,0,0,2.1837114628556327,1,True,False,False,True,False,False
0,3,28.0,0,0,2.1855792552411137,1,False,True,False,False,True,False
0,1,40.0,0,0,3.357621598945279,1,False,True,False,False,False,False
1,1,28.0,1,0,4.993969182787072,2,True,False,False,False,False,True
1,3,28.0,0,0,2.169053700369523,1,True,False,False,True,False,False
0,2,66.0,0,0,2.4423470353692043,1,False,True,False,False,True,False
0,1,28.0,1,0,4.420896324687287,2,False,True,False,False,True,False
0,1,42.0,1,0,3.970291913552122,2,False,True,False,False,True,False
1,3,28.0,0,0,2.1076888046179385,1,False,True,False,False,True,False
0,3,21.0,0,0,2.2027647577118348,1,False,True,False,False,True,False
0,3,18.0,2,0,2.9444389791664403,3,True,False,False,True,False,False
1,3,14.0,1,0,2.5048481563289,2,True,False,False,True,False,False
0,3,40.0,1,0,2.3489914658082016,2,True,False,False,False,False,True
0,2,27.0,1,0,3.091042453358316,2,True,False,False,False,False,True
0,3,28.0,0,0,2.1855792552411137,1,False,True,False,False,True,False
1,2,3.0,1,2,3.7513658711253766,4,True,False,False,True,False,False
1,3,19.0,0,0,2.1837114628556327,1,True,False,False,True,False,False
0,3,28.0,0,0,2.2027647577118348,1,False,True,False,False,True,False
0,3,28.0,1,0,2.803360380906535,2,False,True,False,False,True,False
1,3,28.0,0,0,2.169053700369523,1,True,False,False,True,False,False
0,3,28.0,2,0,3.121448204868825,3,False,True,False,False,True,False
0,3,18.0,1,0,2.9338568698359033,2,True,False,False,False,False,True
0,3,7.0,4,1,3.705920919968788,6,False,True,True,False,False,False
0,3,21.0,0,0,2.174751721484161,1,False,True,False,False,True,False
1,1,49.0,1,0,4.353230991152628,2,True,False,False,False,False,True
1,2,29.0,1,0,3.295836866004329,2,True,False,False,False,False,True
0,1,65.0,0,1,4.142804513146981,2,False,True,False,False,True,False
1,1,28.0,0,0,3.597312260588446,1,False,True,False,False,True,False
1,2,21.0,0,0,2.4423470353692043,1,True,False,False,True,False,False
0,3,28.5,0,0,2.1076888046179385,1,False,True,False,False,True,False
1,2,5.0,1,2,3.3586377672433594,4,True,False,False,True,False,False
0,3,11.0,5,2,3.8691155044168695,8,False,True,True,False,False,False
0,3,22.0,0,0,2.1076888046179385,1,False,True,False,False,True,False
1,1,38.0,0,0,4.394449154672439,1,True,False,False,True,False,False
0,1,45.0,1,0,4.436455632600354,2,False,True,False,False,True,False
